keyword,hunt,est_low,est_high,liquidity,confidence,days_to_sell,notes
wulfenite,minerals-geology,45,350,medium,0.65,75,Quality and locality dominate
crocoite,minerals-geology,90,500,medium,0.7,80,Damage sensitive
rhodochrosite,minerals-geology,75,500,high,0.65,60,Crystal form and locality dominate
benitoite,minerals-geology,150,1200,high,0.75,45,Confirm natural specimen
dioptase,minerals-geology,70,400,high,0.7,55,Color and crystal coverage matter
vanadinite,minerals-geology,45,250,high,0.7,50,Red crystals on matrix preferred
azurite,minerals-geology,45,300,high,0.65,55,Crystal quality matters
rough tourmaline,minerals-geology,10,50,medium,0.85,75,Commercial rough unless crystal form is visible
tumbled tourmaline,minerals-geology,8,35,medium,0.9,75,Common polished material
black tourmaline,minerals-geology,10,65,medium,0.85,70,Common schorl unless crystal form or locality is exceptional
tourmaline,minerals-geology,20,180,medium,0.55,70,Generic identifier; species and termination must be confirmed
native gold,minerals-geology,120,1500,high,0.65,35,Verify authenticity and weight
meteorite,minerals-geology,65,500,high,0.55,45,Classification and provenance matter
fluorite,minerals-geology,30,180,high,0.65,50,Locality and damage matter
aquamarine,minerals-geology,60,450,high,0.6,50,Terminated crystals preferred
opal,minerals-geology,35,300,medium,0.5,70,Needs natural origin confirmation
mineral collection,minerals-geology,40,220,medium,0.45,75,Lot quality varies widely
field collected,minerals-geology,35,180,medium,0.45,85,Labels and locality add value
maxell metal vertex,sealed-vintage-media,80,220,high,0.85,35,Sealed single or multipack
tdk ma-r,sealed-vintage-media,45,140,high,0.9,30,Sealed metal cassette
tdk ma-xg,sealed-vintage-media,45,140,high,0.88,30,Sealed metal cassette
sony metal-es,sealed-vintage-media,25,80,high,0.85,35,Sealed condition expected
maxell xlii-s,sealed-vintage-media,18,55,high,0.85,35,Per sealed cassette or small pack
tdk sa-x,sealed-vintage-media,15,45,high,0.85,35,Per sealed cassette or small pack
ampex 456,sealed-vintage-media,25,100,medium,0.6,65,Sticky shed risk
quantegy 456,sealed-vintage-media,35,120,medium,0.7,60,Sealed reels preferred
maxell ud reel,sealed-vintage-media,30,110,medium,0.7,60,Metal reel adds value
sealed minidisc,sealed-vintage-media,15,65,high,0.8,40,Color editions add value
80 minute minidisc,sealed-vintage-media,15,55,high,0.8,40,Sealed blanks
5.25 floppy,sealed-vintage-media,20,80,medium,0.75,60,Sealed boxes and lots
taiyo yuden,sealed-vintage-media,25,90,medium,0.8,55,Authenticity and format matter
lightscribe,sealed-vintage-media,8,20,medium,0.9,55,Most common spindles have low dollar value
mini dv,sealed-vintage-media,12,45,medium,0.8,55,Value depends on quantity
blank vhs,sealed-vintage-media,8,30,low,0.85,90,High grade multipacks preferred
western electric 300b,vintage-electron-tubes,2000,5000,high,0.85,35,Pair value; authenticate
telefunken ecc803s,vintage-electron-tubes,300,700,high,0.85,40,Gold pin long life
telefunken ecc83,vintage-electron-tubes,120,300,high,0.75,45,Diamond confirmation required
telefunken 12ax7,vintage-electron-tubes,120,300,high,0.75,45,Diamond confirmation required
telefunken,vintage-electron-tubes,120,400,high,0.65,50,Requires diamond and construction confirmation
mullard el34,vintage-electron-tubes,250,450,high,0.8,40,xf codes and getter matter
mullard gz34,vintage-electron-tubes,150,500,high,0.75,45,Metal base premium
mullard ecc83,vintage-electron-tubes,90,275,high,0.75,45,Blackburn code and plate length matter
amperex 6922,vintage-electron-tubes,100,450,high,0.7,50,Pinched waist D getter premium
siemens cca,vintage-electron-tubes,150,350,high,0.8,45,Verify genuine CCa
genalex kt88,vintage-electron-tubes,350,700,high,0.8,45,Per tube
tung-sol 6550,vintage-electron-tubes,175,350,high,0.75,50,Grey plate preferred
tung-sol 6sn7gt,vintage-electron-tubes,250,500,high,0.75,50,Round plate premium
sylvania 6sn7w,vintage-electron-tubes,175,350,high,0.75,55,Metal base premium
6sn7gt,vintage-electron-tubes,30,60,high,0.9,45,Matched pairs add value
12ax7,vintage-electron-tubes,20,80,high,0.75,45,Factory and construction dominate
el34,vintage-electron-tubes,25,120,high,0.7,45,Factory and testing dominate
6l6gc,vintage-electron-tubes,20,100,high,0.7,50,Black plate adds value
el84,vintage-electron-tubes,15,80,high,0.75,45,Factory and testing dominate
6cb6,vintage-electron-tubes,2,4,none,0.95,180,Common low value television tube
6bq7,vintage-electron-tubes,2,6,none,0.9,180,Common television tube
6au6,vintage-electron-tubes,2,5,none,0.95,180,Common low value tube
6dq6,vintage-electron-tubes,3,10,low,0.9,150,Television sweep tube
6bq6,vintage-electron-tubes,2,7,none,0.9,180,Television sweep tube
6lq6,vintage-electron-tubes,4,15,low,0.85,140,Television sweep tube
35z5,vintage-electron-tubes,2,6,none,0.95,180,Common rectifier
50l6,vintage-electron-tubes,3,8,low,0.9,150,Common output tube
5y3,vintage-electron-tubes,5,15,medium,0.85,90,Common rectifier
waterman patrician,vintage-pens,700,2500,low,0.7,180,Verify color and authenticity
duofold mandarin yellow,vintage-pens,500,2000,medium,0.75,120,Rare color; authenticate
parker duofold lapis,vintage-pens,500,1800,medium,0.7,130,Rare color; authenticate
namiki maki-e,vintage-pens,300,3000,medium,0.65,150,Artist and condition dominate
waterman 452,vintage-pens,300,900,medium,0.75,100,Sterling overlay
waterman 552,vintage-pens,350,1000,medium,0.75,110,Gold overlay potential
wahl eversharp doric,vintage-pens,250,700,medium,0.75,100,Color and condition matter
montblanc 149,vintage-pens,400,900,high,0.65,70,Counterfeit risk
sheaffer pfm,vintage-pens,200,500,high,0.8,60,PFM V preferred
parker vacumatic senior maxima,vintage-pens,200,500,high,0.8,65,Size and color matter
parker 51 double jewel,vintage-pens,150,350,high,0.8,55,Early examples
parker 51,vintage-pens,50,180,high,0.85,50,Color and filling system matter
sheaffer snorkel,vintage-pens,70,180,high,0.85,55,White Dot models preferred
sheaffer balance,vintage-pens,70,225,high,0.8,60,Celluloid condition matters
parker 75 sterling cisele,vintage-pens,100,225,high,0.85,55,Sterling grid finish
mabie todd swan,vintage-pens,120,400,medium,0.75,80,Flex nib premium
conway stewart,vintage-pens,80,300,medium,0.7,85,Model and color matter
onoto,vintage-pens,90,350,medium,0.7,90,Flex and model matter
esterbrook j,vintage-pens,25,60,high,0.9,45,Common bread and butter pen
14k nib,vintage-pens,30,100,high,0.9,45,Parts value floor
18k nib,vintage-pens,40,130,high,0.9,45,Parts value floor
wet noodle,vintage-pens,150,400,medium,0.8,75,Verify tine condition
bradley,vintage-pens,5,18,low,0.9,120,Low value fashion or promotional pen
papermate,vintage-pens,3,15,low,0.9,120,Usually low value
bic,vintage-pens,1,8,none,0.95,180,Disposable pen
bo nordh,estate-tobacco-pipes,3000,15000,low,0.8,240,Authenticate artisan stamp
